lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
"Zemun, Nova Galenika",2,60,III-IV,NE,DA,DA,NA,DA,NA,966.6666667,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Kanarevo brdo,3,58,III-IV,NE,DA,NE,NE,DA,1,965.5172414,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Petlovo brdo,3,58,I-II,NA,NE,NA,NA,DA,NA,965.5172414,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Medakovic 3,2,57,I-II,NA,NA,NA,NA,NA,NA,964.9122807,.9-1.1K,"Medakovic 3, Beograd, Srbija",44.7735266,20.5044348
Mirijevo 2,2,59,V+,NA,DA,DA,DA,DA,2,964.4067797,.9-1.1K,"Mirijevo 2, Beograd, Srbija",44.7891144,20.532774
"Zemun, Save Kovacevica",2,59,V+,NE,NE,NA,NA,DA,0,964.4067797,.9-1.1K,"Zemun, Save Kovacevica, Beograd, Srbija",44.845039,20.392928
Cerak,1,28,P,DA,DA,NA,NA,DA,1,964.2857143,.9-1.1K,"Cerak, Beograd, Srbija",44.7508222,20.4177298
Petlovo brdo,1,28,I-II,DA,DA,NA,NA,DA,2,964.2857143,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Žarkovo,4,83,III-IV,NA,DA,NA,NA,DA,1,963.8554217,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
"Zemun, Nova Galenika",3,83,I-II,NA,DA,NA,NA,DA,NA,963.8554217,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Kumodraž 1,3,55,P,DA,DA,NA,NA,DA,1,963.6363636,.9-1.1K,"Kumodraž 1, Beograd, Srbija",44.7424673,20.5159309
Kanarevo brdo,1,41,III-IV,NE,DA,NE,NE,DA,0,963.4146341,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Medakovic 3,1,27,I-II,NA,NE,NA,NA,DA,NA,962.962963,.9-1.1K,"Medakovic 3, Beograd, Srbija",44.7735266,20.5044348
Petlovo brdo,3,54,V+,NA,DA,NA,NA,NA,NA,962.962963,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Rakovica,3,54,P,NE,DA,NA,DA,NA,1,962.962963,.9-1.1K,"Rakovica, Beograd, Srbija",44.7463363,20.4403105
Dušanovac,3,53,V+,NE,NE,DA,NA,NA,1,962.2641509,.9-1.1K,"Dušanovac, Beograd, Srbija",44.7863448,20.4795043
Borca,2,52,I-II,NE,DA,NA,NA,NA,1,961.5384615,.9-1.1K,"Borca, Beograd, Srbija",44.8773292,20.4570078
Kanarevo brdo,2,52,III-IV,NE,DA,NE,NE,DA,1,961.5384615,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Konjarnik,3,78,P,NE,DA,NA,NA,DA,1,961.5384615,.9-1.1K,"Konjarnik, Beograd, Srbija",44.7841755,20.5055572
Petlovo brdo,2,39,P,DA,NE,NA,NA,NE,2,961.5384615,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
"Zemun, Nova Galenika",3,52,I-II,NA,NE,NA,NA,NA,NA,961.5384615,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
"Zemun, Novi grad",3,78,I-II,NE,NE,NE,NE,DA,1,961.5384615,.9-1.1K,"Zemun, Novi grad, Beograd, Srbija",44.8367127,20.3717998
Labudovo brdo,2,51,V+,DA,DA,DA,NA,DA,1,960.7843137,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Kumodraž 2,2,50,III-IV,NA,DA,NA,DA,NA,1,960,.9-1.1K,"Kumodraž 2, Beograd, Srbija",44.75122455,20.50100664
Banjica,1,24,P,NA,DA,DA,NA,DA,1,958.3333333,.9-1.1K,"Banjica, Beograd, Srbija",44.7562005,20.47756
Košutnjak,4,96,III-IV,NE,DA,DA,NA,DA,2,958.3333333,.9-1.1K,"Košutnjak, Beograd, Srbija",44.76675535,20.4326642
Rakovica,4,96,III-IV,NA,DA,DA,NA,DA,1,958.3333333,.9-1.1K,"Rakovica, Beograd, Srbija",44.7463363,20.4403105
Kalemegdan,2,48,I-II,NE,NE,NE,NA,DA,NA,956.25,.9-1.1K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Vidikovac,4,91,I-II,NA,DA,DA,NA,DA,1,956.043956,.9-1.1K,"Vidikovac, Beograd, Srbija",44.7410032,20.423297
